ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
facfcc80-49d2-372d-82d3-70e0a4a77fbb,,6647492,₹0,6995030,1907543,0,347538,Resident Individuals,INDIVIDUALS,"₹5,655,590",,,8822990,,,12,1,,1,,,2.0,,,
544dae24-8d09-33a9-80e4-b9d66d551320,,3706438,"₹1,817,340",2686084,4417,0,0,"Resident Individuals, Foreign Nationals","Dr. Ashok Kache, Dr. N Bhaskara Rao, GiveIndia & many individuals","₹3,500,000",,,2500000,,,0,,,10,,,,,,
6f7112db-3458-31e0-b963-fd473c47b674,,0,₹0,0,0,0,0,,credible alliance,"₹1,097,000",,,1065000,,,7,3,,21,,,,,,
2ab25a9a-f172-34c4-a4f6-55edc333491a,,0,₹0,0,0,0,0,,credible alliance,"₹1,680,000",,,27310000,,,3,,,7,,,,,,
9aadc428-eed1-3b42-82ba-a40814e816d9,,0,₹0,0,0,0,0,,Credible Alliance,"₹1,097,000",,,2000750,,,12,,,,,,,,,
5ce7dda4-5c24-317d-86b1-b80bba47e85d,,2512150,₹0,3834277,0,0,0,"Government Bodies, Other Foreign NGOs, Domestic Companies, Foreign Companies","Indian Red Cross Society, Microleasing & Funding Ltd, Sitaram Jindal Foundation, Global Giving Foundation  USA, Global Hand, Hong Kong, Nasscom Foundation, New Delhi,",₹0,,,0,,,6,3,,3,,,,,,
94f0c931-0bac-38eb-af1e-cd2a14b705d0,,1758507,₹0 ₹0,1750354,59243,0,0,N/A Government Bodies,"credible alliance MINISTRY OF AGRICULTURE, GOI","₹1,250,000 ₹500,000",,,1759096,,,6,20,,10,,,2.0,,,
15829da9-afca-3cda-8e5a-47487c71ccc3,,0,₹0,0,0,0,0,,Indian Institute of Corporate Affairs,"₹1,250,000",,,1223000,,,3,,,,,,,,,
b7c2ae5e-7fc1-3121-8c12-15a4f140f192,,1511900,₹0,1563280,100000,0,0,,Indian Institute of Corporate Affairs,"₹1,250,000",,,2500000,,,10,5,,50,,,2.0,,,
9c5ce9e6-199a-3926-8ea3-41d037e0ff40,,0,₹0,0,0,0,0,,credible alliance,"₹6,754,350",,,500000,,,3,,,,,,,,,
