ngoId,ngoName,orgEmail,officePhone,primaryPoc,primaryPocPhone,secondaryPoc,secondaryPocPhone,mailingAddress,physicalAddress,fieldOffices,orgType,orgWebsite,websiteIsValid,facebook,twitter,iInstagram,youtube,whatsapp,otherSocials,scrapeSource,executiveDirector,technicalSupport,chairmanName,chairmanMobile,chairmanEmail,viceChairmanName,viceChairmanMobile,viceChairmanEmail,secretaryName,secretaryMobile,secretaryEmail,assistantSecretaryName,assistantSecretaryMobile,assistantSecretaryEmail
208c840d-e53e-3e7a-b62e-c9f8ffa19114,Center For Social Security Action & Research (Cssar),yogendrajha65@yahoo.com,+91 11 25512685,,,,,"R A R 429, 3rd floor,  Rajendra Arihant Tower,  B-1, Community Centre,  Janakpuri, New Delhi 110058","R A R 429, 3rd floor,  Rajendra Arihant Tower,  B-1, Community Centre,  Janakpuri, New Delhi 110058",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
93922d8d-2aff-374b-b7ee-e29e01b34553,Mazi Sainik Shikshan Ani Swasthya Kalyan Sanstha,biman.mistry@gmail.com,+91 93225 17908,,,,,"Daffodils English Medium Charitable School, Dikshal, Post Koshane, Karjat, Dist: Raigad, PIN - 410201","Daffodils English Medium Charitable School, Dikshal, Post Koshane, Karjat, Dist: Raigad, PIN - 410201",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
8725a4f8-5f23-34f5-8d1d-5e47f62e5a65,Annamrita Foundation,Missing,91 93225 17908,,,,,"19, Jaywant Industrial Estate, 63 Tardeo Road, Mumbai 400034 Maharashtra","19, Jaywant Industrial Estate, 63 Tardeo Road, Mumbai 400034 Maharashtra",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
2c32ca08-581d-3d4b-afd2-96d5ec3450e6,Jk Maass Foundation,msjeyaram151@yahoo.co.in,+91 04522384555,,,,,"Corporation School Complex, Pillaimar Street, Arapalayam, Madurai 625016 Tamilnadu","Corporation School Complex, Pillaimar Street, Arapalayam, Madurai 625016 Tamilnadu",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
df6919e2-6aa5-3e70-9499-bc96dd98a7b2,Mobile Creches For Working Mothers Children,suman.p@mobilecreches.org,+91 01123347281,,,,,"DIZ Area, Sector IV, Raja Bazar, New Delhi 110001 Delhi","DIZ Area, Sector IV, Raja Bazar, New Delhi 110001 Delhi",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
5ef41ed0-79d7-3bed-aed4-0b2ebe4c3303,National Society For Equal Opportunities For The Handicapped,yogeeshetty@rediffmail.com,+91 22 25220224,,,,,"Postal Colony Road,  Chembur, Mumbai 400071  Maharashtra","Postal Colony Road,  Chembur, Mumbai 400071  Maharashtra",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
7f51de3d-160b-3f30-8a07-a2b2c400d942,Navjyoti India Foundation,neetu.sharma@navjyoti.org.in,+91 11 47100706,,,,,"Khasra No. 99, Majri Karala,  Main Kanjhawala Road,  Near Sector 22, Rohini, New Delhi 110081 Delhi","Khasra No. 99, Majri Karala,  Main Kanjhawala Road,  Near Sector 22, Rohini, New Delhi 110081 Delhi",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
b2f1a9b9-6fc5-3f9b-a428-e23fdb590724,Pahal Jan Sahyog Vikas Sansthan,pahal6867@gmail.com,+91 731 4222197,,,,,"65, Janki Nagar MainIndore 452001 Madhya Pradesh","65, Janki Nagar MainIndore 452001 Madhya Pradesh",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
c111544a-780b-33d0-8cae-4cdc078a7b54,Sankara Nethralaya,alagiri@snmail.org,+91 44 2820 2448,,,,,"18, College Road, Chennai 600006 Tamilnadu","18, College Road, Chennai 600006 Tamilnadu",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
a361a3e9-9c9d-3af8-92e5-4587d46b0f41,Saath (Initiatives For Equity In Development),niraj@saath.org,+91 79 26926604,,,,,"O-102, Nandanvan - V  Nr. Prernatirth Derasar,  Jodhpur Tekra  Ahmedabad 380015 Gujarat","O-102, Nandanvan - V  Nr. Prernatirth Derasar,  Jodhpur Tekra  Ahmedabad 380015 Gujarat",,,,,,,,,,,giveIndia,,,,,,,,,,,,,,
