ngoId,ngoName,orgEmail,officePhone,primaryPoc,primaryPocPhone,secondaryPoc,secondaryPocPhone,mailingAddress,physicalAddress,fieldOffices,orgType,orgWebsite,websiteIsValid,facebook,twitter,iInstagram,youtube,whatsapp,otherSocials,scrapeSource,executiveDirector,technicalSupport,chairmanName,chairmanMobile,chairmanEmail,viceChairmanName,viceChairmanMobile,viceChairmanEmail,secretaryName,secretaryMobile,secretaryEmail,assistantSecretaryName,assistantSecretaryMobile,assistantSecretaryEmail
228b73b7-dcbb-3fbd-b10d-440d5a8091f3,`Sahaj' (An Organisation For Women'S Development),admnsahaj@outlook.com,,,,,,"Desai Automobile Compound,
Garbada Road, Padav    Dahod, 
Dahod, Gujarat  389151","Desai Automobile Compound,
Garbada Road, Padav    Dahod, 
Dahod, Gujarat  389151",,,http://www.sahajindia.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
c3ad95bf-9c5f-3fda-b098-e0fa1d1e4895,"""Divya Rasa"" (Centre For Healing, Learning, Research And Communication)",divyarasa555@divyarasa.org,91-9176300657,,,,,"Divya Rasa - Temple of Love, Su Kilnachipattu,
Then Mathur post, near Arunai Engineering college    Tiruvannamalai, 
Tiruvannamalai, Tamil Nadu  606603","Divya Rasa - Temple of Love, Su Kilnachipattu,
Then Mathur post, near Arunai Engineering college    Tiruvannamalai, 
Tiruvannamalai, Tamil Nadu  606603",,,http://www.divyarasa.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
1a62d275-5b43-3903-91b5-43fad6441e4a,"""Sankalp"" Manav Vikas Sanstha",sudhakarsankalp@gmail.com,91-9096696633,,,,,"Sudhakar Kshirsagar,Gautam Nagar Pathari,
Pathari    Parbhani, 
Tq. Pathari, Maharashtra  431506","Sudhakar Kshirsagar,Gautam Nagar Pathari,
Pathari    Parbhani, 
Tq. Pathari, Maharashtra  431506",,,,False,,,,,,,givingTuesday,,,,,,,,,,,,,,
95d3867f-d89a-30d6-adb8-e8d00c915575,"""Visha"" Vocational Institutes Social,Health And Agriculture",kptvisha@gmail.com,91-9438022310,,,,,"Goutam Nagar Last Lane,,
koraput    Koraput, 
Koraput, Odisha  764020","Goutam Nagar Last Lane,,
koraput    Koraput, 
Koraput, Odisha  764020",,,,False,,,,,,,givingTuesday,,,,,,,,,,,,,,
0ed29fcc-10b0-32eb-9435-7a0c6acbe5c9,17000 Ft Foundation,reach.us@17000ft.org,91-9871100334,,,,,,,,,http://www.17000ft.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
fc30b60d-da49-35c0-a5c3-b3eba211c65a,A New Friends Club,anfc2000@gmail.com,91-9416484636,,,,,,,,,,False,,,,,,,givingTuesday,,,,,,,,,,,,,,
d1808107-582f-3cd7-8ddc-668fc5783954,Aaina,secretary@aaina.org.in,,,,,,,,,,http://www.aaina.org.in,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
82659339-0c1f-3e35-918e-28112924ede9,Aas Samiti,aasindia@hotmail.com,91-9827300186,,,,,,,,,http://www.aasindore.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
d0dc255a-da1e-3bfa-b5ab-6635149e09fa,Aashalata Victoria Wilkinson Memorial Charitable Trust,victoriawilkinsontrust@yahoo.co.in,91-9910002002,,,,,,,,,http://www.aashalata.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
30238edd-493b-361a-a417-c52eab523e2d,Aashray Society,aashray_society@hotmail.com,,,,,,,,,,http://www.aashray-india.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
c5e21c29-efc0-3076-b870-a68729af7292,Aashwasan Foundation,info@aashwasan.com,,,,,,,,,,http://www.aashwasan.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
5d43bff4-cfc6-3df2-b2b6-2a6f98c21086,Aasraa,aasraatrust@gmail.com,,,,,,,,,,http://www.aasraatrust.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
570cca8c-9c0c-3b26-aacf-bf338ef5b177,Aastha Foundation,h.girish@hotmail.com,91-9822035349,,,,,,,,,http://www.aasthafoundationaurangabad.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
ff906f5d-376f-3899-b1ab-2492914a2425,Aatmaja Foundation,priya@aatmaja.org,91-7028009200,,,,,"78/3,
Near Vinode Nagar, Marunji Road    Pune, 
Wakad, Maharashtra  411057","78/3,
Near Vinode Nagar, Marunji Road    Pune, 
Wakad, Maharashtra  411057",,,http://www.aatmaja.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
a79ab6ac-26f0-3455-9a88-555ff0689b3e,Abha Mission For Social Health And Education,abhamission@gmail.com,91-9903290696,,,,,,,,,https://abha-mission-she.webs.com/,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
c537a7cd-7019-3951-a8da-787ef715ec7c,Abhilasha Foundation,info@abhilasha-foundation.org,,,,,,,,,,http://www.abhilasha-foundation.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
52b2edfe-8801-3132-84ba-b9d1fc17ecf8,Abhinav,abhinavngo7@gmail.com,91-8057901700,,,,,,,,,http://www.abhinavindia.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
08ad0f95-2353-3535-a99d-9fd736e8a5fd,Abhoy Mission,abhoymission@rediffmail.com,91-9436123069,,,,,"Abhoy Mission, Ramnagar Road No. 1, P.O - Ramnagar, Agartala, Tripura - 799002,
Ramnagar Road No.-1, Agartala, Tripura West, Pin-799002    West Tripura, 
Agartala, Tripura  799002","Abhoy Mission, Ramnagar Road No. 1, P.O - Ramnagar, Agartala, Tripura - 799002,
Ramnagar Road No.-1, Agartala, Tripura West, Pin-799002    West Tripura, 
Agartala, Tripura  799002",,,http://www.abhoymission.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
b6e64632-7820-3d38-9cfe-2f9fe6d4d837,"Academicians Association For Liberation, Peace And Education",aalpe.org@gmail.com,,,,,,"15-4-5/4, Akasapu Krupa Nilayam,,
Luthergiri, Municipal Colony    East Godavari, 
Rajahmundry, Andhra Pradesh  533105","15-4-5/4, Akasapu Krupa Nilayam,,
Luthergiri, Municipal Colony    East Godavari, 
Rajahmundry, Andhra Pradesh  533105",,,http://www.aalpe.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
1df51977-756a-361b-8f16-b592e1f85e15,Access Life Assistance Foundation,girish@accesslife.org,91-9167755565,,,,,,,,,http://www.accesslife.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
ca1baff5-5d22-3f00-b16b-d99eeba7390c,Ace Social Foundation,info@acesocial.org,,,,,,,,,,http://acesocial.org,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
f8ae0103-a287-3eb5-a946-3eb1d92ff2cf,Acil Navsarjan Rural Development Foundation,info.anarde@gmail.com,,,,,,,,,,http://www.anardeindia.org/,True,,,,,,,givingTuesday,,,,,,,,,,,,,,
