ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
228b73b7-dcbb-3fbd-b10d-440d5a8091f3,,,,,,,,,,,,,,,,70,,,,,,,,,
c3ad95bf-9c5f-3fda-b098-e0fa1d1e4895,,,,,,,,,,,,,,,,3,,,5.0,,,,,,
95d3867f-d89a-30d6-adb8-e8d00c915575,,,,,,,,,,,,,,,,3,,,23.0,,,,,,
0ed29fcc-10b0-32eb-9435-7a0c6acbe5c9,FY 2018-19,,,,,,,,,,,,,,,29,,,0.0,,,,,,
fc30b60d-da49-35c0-a5c3-b3eba211c65a,,,,,,,,,,,,,,,,10,,,100.0,,,,,,
d1808107-582f-3cd7-8ddc-668fc5783954,,,,,,,,,,,,,,,,53,,,3.0,,,,,,
82659339-0c1f-3e35-918e-28112924ede9,,,,,,,,,,,,,,,,15,,,10.0,,,,,,
d0dc255a-da1e-3bfa-b5ab-6635149e09fa,,,,,,,,,,,,,,,,30,,,5.0,,,,,,
30238edd-493b-361a-a417-c52eab523e2d,,,,,,,,,,,,,,,,4,,,,,,,,,
c5e21c29-efc0-3076-b870-a68729af7292,,,,,,,,,,,,,,,,,,,0.0,,,,,,
5d43bff4-cfc6-3df2-b2b6-2a6f98c21086,FY 2019-20,,,518 lakhs,,,,,,,,,,,,18,,,5.0,,,,,,
570cca8c-9c0c-3b26-aacf-bf338ef5b177,,,,,,,,,,,,,,,,4,,,4.0,,,,,,
ff906f5d-376f-3899-b1ab-2492914a2425,,,,,,,,,,,,,,,,1,,,,,,,,,
a79ab6ac-26f0-3455-9a88-555ff0689b3e,,,,,,,,,,,,,,,,6,,,14.0,,,,,,
c537a7cd-7019-3951-a8da-787ef715ec7c,,,,,,,,,,,,,,,,10,,,145.0,,,,,,
52b2edfe-8801-3132-84ba-b9d1fc17ecf8,,,,,,,,,,,,,,,,21,,,160.0,,,,,,
08ad0f95-2353-3535-a99d-9fd736e8a5fd,,,,,,,,,,,,,,,,20,,,38.0,,,,,,
b6e64632-7820-3d38-9cfe-2f9fe6d4d837,,,,,,,,,,,,,,,,21,,,43.0,,,,,,
1df51977-756a-361b-8f16-b592e1f85e15,,,,,,,,,,,,,,,,4,,,8.0,,,,,,
ca1baff5-5d22-3f00-b16b-d99eeba7390c,,,,,,,,,,,,,,,,38,,,0.0,,,,,,
f8ae0103-a287-3eb5-a946-3eb1d92ff2cf,,,,,,,,,,,,,,,,75,,,15.0,,,,,,
4a845814-90f8-3f20-a638-a7abedd34939,,,,,,,,,,,,,,,,65,,,0.0,,,,,,
13ca3f19-9bde-3657-ba15-9dc31643cd4e,,,,,,,,,,,,,,,,4,,,24.0,,,,,,
335fbc64-c67b-333e-82d1-9434c6bea901,,,,,,,,,,,,,,,,3,,,3.0,,,,,,
4036ce16-8b03-3359-a9b9-7985e69c4584,,,,,,,,,,,,,,,,14,,,32.0,,,,,,
