ngoId,hasRegistration,hasFinance,logo,yearEstablished,missionStatement,vision,objectives,legalStatus,areasOfOperation,activeStatus
608f2a51-35a5-3002-8229-c078531a7cdd,,,,,,,"Aai Caretaker is involved in diverse activities such as as Saaf Angan (spreading awareness for clean environment), Self Help Groups (SHGs for development activities), tree plantation, and medical camps.  At present, its focus is to provide computer education to deserving underprivileged children. In collaboration with a local computer training institute, Yash Computer Education, Aai Caretaker has initiated a programme to provide Certificate Course In Information Technology (CCIT) and Hardworking and Networking course to about 20-30 children at subsidised fees. The objective is to make the underprivileged computer literate.  Aai Caretaker is registered with the NGO Partnership System, a government initiative. It is also registered with Central Social Welfare Board. In 2012, Aai Caretaker received a letter of appreciation from the Minister of State Excise and Non-Conventional Energy for their work. ",,,
c894bc4b-4c34-38ca-a874-fa9f9bc69677,,,,,,,"A parent-initiative, Association for Ability Kare Rehabilitation and Training of Persons with Disabilities (Aakriti) was registered in 2007 in Faridabad, Haryana. The purpose is to deliver education and vocational training to mentally challenged children. The mission is to improve their quality of life and to make them independent.  Aakriti provides multiple services for training and rehabilitation of children with special needs:   Teaching life skills to enable adaptability and develop a positive attitude to deal with the challenges the children face in life.  Basic computer training to promote self-reliance.  Yoga therapy which helps adolescents to enhance co-ordination, increase attention span, and reduce hyper-activity.  Extra-curricular activities like drama, dance, and music therapy related skills which are developed based on the individual’s interest and ability.  Vocational training which includes paper bag making, stained glass painting, decorative stationery (gift bags, gift envelopes, handmade greeting cards, note pads), candle making, etc.  Techniques of behaviour management for the children.  A Paramedical team of speech therapist, physiotherapist and occupational therapist who help in developing communication skills, management of physical deformities and motor skills, improving sensory responses, and improving the ability of the children to perform daily living activities.  Workshops and counselling sessions are conducted for parents and siblings for home-based and community-based rehabilitation.  Transport facilities are provided for picking up and dropping the children.  ",,,
b023c29c-3ae0-3128-881c-b0245892e0aa,,,,,,,"Aakash Maindwal Foundation has been working to educate underprivileged girl children. They arrange and provide medical facilities for the general public, especially those who are needy and poor or are victims of natural calamities. The Foundation also works for the upliftment of women.  They are a member of GuideStar, Samhita.org andCredibility Alliance upto December 2017.TheFoundation worksin the following areas:   Vocational training  Environmental awareness  Rural development  Eradication of child labour  Health awareness  Human and consumer rights protection  Job search and placements  Women empowerment  Cultural programmes  Tree plantation   They conducted the following activities:   Vocational Training :  The Foundation started sewing and other employment skill-related classes for women at Tamanna, their institute for girls.  Environmental Awareness: A water conservation workshop was held for children in Dwarka.  Rural development programme.  Programme for eradication of child labour.  Computer Training classes for underprivileged girls.  Health awareness workshop.  ",,,
7c8e8ac2-e381-3a90-bf13-c3786b890a05,,,,,,,"Aaradhana Sanstha was formed for educational upliftment of underprivileged sections of society.  It works for the holistic development of the neglected Ghumantu Jati (nomadic scheduled community tribe) in Agra district. Members of this tribe live in temporary huts and migrate regularly in search of work leading to their problems being overlooked.  Aaradhana is listed with Guide Star India.  Activities of FY12-13 include:   Drinking water and toilet facilities:  Each year, about 100 children enrol in two Government schools in Akola block of Agra. However, they are unable to continue their education due to the lack of basic facilities. Aaradhana initiated the construction of toilets and supply of safe drinking water in collaboration with Indian Oil Corporation Limited.  At present there are about 200 enrolled children with no dropouts.   As a part of its community development programme, Aaradhana provided facilities for bore wells in Bodla area of Agra   Shiksha Bane Jeevan Jyoti:   Under this programme, the children belonging to the nomadic tribes were enrolled for a one year foundation course after which they were integrated with CBSE schools. So far, 40 children have been educated in Aaradhana Bhawan. The NGO provides uniforms, stationery and transportation to these children free of cost. Aaradhana has enrolled the next batch of 50 students in FY13.  Beti Bachao Abhiyan:  Aaradhana organized Beti Bachao Abhiyan in FY13 to stop female foeticide with active participation of reputed doctors and social activists.  Voting awareness camp:  Aaradhana organized a camp for arranging voter’s cards for the community, thereby making them aware of their fundamental rights. Officials of the Election Commission visited Aaradhana Bhawan and helped in the procedure for obtaining voting cards before commencement of General Election 2014. The programme was highly appreciated by the electronic and print media.  ",,,
3e5c857a-4e60-36d9-b3a3-d14c02bf373b,,,,,,,"Action Against Hunger (AAH) registered as Fight Hunger Foundation was established to address the problem of acute malnutrition observed in children under five in India. While feeding the hungry is essential, the non-profit has adopted a sustainable and an integrated model to tackle malnutrition cases.  AAH has developed a strategy that is based on three pillars:   Sensitising stakeholders including the state government, hospitals, schools, national institutions and international organisations through various awareness building sessions.  Implementing programs to prevent, detect and treat undernourished cases by partnering with local healthcare centres and community workers.  Conducting research to understand the underlying causes of acute malnutrition by collaborating with business schools and research institutes.   AAH firmly believes that malnutrition is an outcome of many social factors. Through its comprehensive approach, AAH has helped the poor develop long term sources of income to create self-sufficiency and to fight malnutrition. The non-profit works with children, pregnant women and mothers. With help of local partners, AAH has ensured that the communities have access to clean water and helps them develop safe hygiene practises to prevent diseases.  AAH is growing rapidly and is currently present in Madhya Pradesh, Rajasthan and Maharashtra. It has partnered with ACF International, the leading global organisation in the war against hunger that reached out to over 21 million children across 47 countries.  An individual can become a life time member with AAH by donating a sum of    ₹  500,000.       ",,,
a8ba95ae-d6a1-398a-b5a7-fcebe7fb209e,,,,,,,"Aastha Foundation was established in 2008 in Aurangabad, Maharashtra. The main objective of the Foundation is to take care of the elderly, who need help and shelter.  Aastha Foundation wants to construct a Home (Basant Prabha-Visawa) in Aurangabad to provide residential housing and assisted living for the elderly. It will be constructed on 3 acres of land and accommodate up to 100 people. The Home will provide the elderly, twin sharing rooms with sanitation facilities, recreational facilities such as lawns and garden, dining hall and kitchen, meditation room, physiotherapy, counselling, and place to hold cultural events. The construction is expected to start from September 2015, after completing all legal formalities.  In FY15, Aastha Foundation organized an event on ‘Innovations in India’ in which a speech was given by Dr. A. P. J. Abdul Kalam. It organized a workshop on Fund Raising, participated in the GuideStar Exhibition in Mumbai, and also participated at a CSR Live Week Exhibition where it showcased its work and interacted with other NGOs and Corporates. Aastha Foundation also organized various need based programmes for senior citizens such as an Acupressure camp, Walkathon camp, Eye check-up, Bone density checking camp, Stress relieving workshop, and Alzheimer awareness camp.  With the support from Tata Institute of Social Sciences (TISS), Aastha Foundation has started conducting a Certificate Course in Geriatric care in Marathwada, which aims at promoting health, by preventing and treating diseases and disabilities in the elderly.    ",,,
34113d04-cd6e-32c8-9ea0-4d8ab0f3913c,,,,,,,"Aarohan helps provide mainstream education to underprivileged children who are school drop-outs or have never been to school, with free after school academic support. It also provides them with career counselling and vocational training to help them to earn a respectable living. It has brought over 2,800 neglected children living in slums and on the streets under its wings.  Their projects are as follows:   Nursery:  This is Aarohan’s flagship project which runs in the Jagdamba Camp in Sheikh Sarai, New Delhi. The nursery addresses educational needs of children between 3-5 years of age.  Asha:  This project focuses on children who have never been to school or are school dropouts. Under this project children are prepared for entrance exams to get admission to schools. Aarohan helps more than 100 children a year get admission in schools.  After-school academic support:  Aarohan provides children with after-school academic support through their programmes like Pass, Pathways, Ambassador of Hope and Shikhar. This is to ensure that the children stay enrolled in school and do not drop out. They also arrange for sponsorships for the children and provide career counselling to them so that they are able to make informed decisions about their future.  Vocational Training and Extracurricular activities:  Their vocational training centre helps children enhance skills which can later become a viable source of livelihood for them. Classes are held in Spoken English, Computer usage, classical dance forms like Kathak, art  and craft.  Health:  Aarohan’s beneficiaries reside in slums and are surrounded by unhygienic living conditions. As a result they suffer from chronic ailments. Aarohan partners with the government, businesses and other organisations to improve the performance and reliability of the health system in these slum dwellings.  Project Orissa:  Aarohan started work in Orissa in 2013 in Baripada, a small hamlet in Mayurbhanj district in Odisha. This is a backward area with scanty population where the main vocation is maiking bamboo baskets.  They have begun providing education and after school support to about 200 children but it hasn't been easy due to starvation and lack of resources. They have started a Computer Centre in Baripada.   ",,,
6a458842-9fde-3acd-9f4f-e02c26b11eef,,,,,,,"Abha Help Mission Charitable Trust (AHMCT) addresses the concerns relating to child education, health, women empowerment, orphanage, old age care and rural development. Their outreach extends in shantytowns of Delhi, Uttar Pradesh and Madhya Pradesh.  AHMCT works in the following areas:  Education:   Providing education to street and labourer’s children in Delhi and Jabalpur, Madhya Pradesh.  Promotion of adult and women’s education.  They started a school in Jabalpur for poor children. 172 children are currently studying at the school.  Free tuitions children in education help centres. AHMCT runs 21 such help centres.   Health:   They conducted child health, AIDS, cancer and tuberculosis awareness campaigns in the slum and rural areas of North East Delhi, Madhya Pradesh and Uttar Pradesh  AHMCT distributed free medicines to poor families   Women Empowerment:   Free vocational training in tailoring is provided to poor women  Awareness workshops on good health and lifestyle practices for women   Awareness Campaign   An environment awareness campaign was held in schools and residential areas of Jabalpur and North East Delhi.  Awareness campaign were held on social topics like road safety, consumer protection, anti-drug abuse was held.   AHMCT is registered under the NGO Partnership System operated by the Planning Commission of the Government of India. ",,,
1e2350d0-e051-3fc0-bf10-416cdcca26d6,,,,,,,"Aastha Parivaar is a registered federated body of 13 Community Based Organizations (CBOs) under the Aastha Project and was established in 2009. It provides a common platform to all types of sex workers (SWs) in Mumbai and Thane to address their common issues and needs such as health, human rights, crisis intervention, legal literacy, literacy, and support for their children.  Aastha Parivaar is an organization of, for, and by SWs. It is based on the eventual empowerment of the SWs so that they may move on to a life where they need not be dependent on any external agency for help with their affairs. Aastha encourages community members to come together to form Self-Help Groups (SHGs) or Aastha Gats, at the site level.  Their key programs are:   HIV Interventions : Aastha continues its HIV targeted intervention work with residential bar-based population. Through these interventions, they increase awareness of HIV transmission, prevention, protection, treatment and care, as well as shift high risk behavioral patterns using behavioral change communication.  Alternative Opportunities : Through their CBOs, Aastha works to increase the capacities of community members. With income generation activities such as making and selling chocolate, umbrella painting, shoes decoration, packing and presentation tailoring and beautician services, they offer alternative livelihood possibilities to SWs and their children.  Children:  Children of SWs are provided with remedial education workshops from ages 5 to 8, scholarships to children of CBO members and midday meals to street children by the NGO. The Orphan and Vulnerable Children initiative enables health and psycho-social support and protection to the ones in need.  Healthcare:  CBOs provide various health services benefitting both, CBO members and non-members. These include general health camps, nutritional camps, and vitamin distribution camps free of cost.   The NGO has strengthened and increased advocacy work with various stakeholders in the community including brothel managers, gurus in the transgender community, and the police. The CBOs conduct police sensitization workshops and also liaise with banks for easy bank account openings and attend regular government meetings to keep abreast of developments. ",,,
0d31725e-edd0-3050-9eab-ab6842523007,,,,,,,"ACCESS Development Services (ADS) is a national livelihoods support organization with a focus on incubating innovations for promoting sustainable livelihoods of the poor. ACCESS is structured uniquely, to work at all levels of the value chain  implementing programs on the ground, working with the Government, Multilateral/ Bilateral agencies, Corporate Sector and Civil Society Organisations to improve and enhance their program implementation as also undertaking initiatives to support, inform and influence policies.  Interventions  Establishment of Entrepreneurships   ACCESS constantly focuses on encouraging large numbers of entrepreneurs to set up small business and generate employment & wealth for themselves and others. Few instances such as  1)'The Pink City Rickshaw Co', a social enterprise registered as a private limited company was established in 2016-17 with equity participation from the participating poor women from Jaipur. 2) ACCESS is working with the Assam Rural Livelihoods Mission to provide specialized technical services and inputs for developing business strategy and providing start-up assistance to foster sustainable livelihoods for handloom weavers in Assam.  Women Empowerment  ACCESS has also played an important role in women empowerment, by starting micro finance services to women from impoverished households, encouraging to set up business for self-employment & Development. In order to benefit women from low-income households, ACCESS incubated a social enterprise called Zingnzest, registered as a Pvt. Ltd company which seeks to train and empower 200 women to become micro-entrepreneurs in the food processing industry.  Advancing Farming Methods  UDDAN is an initiative being implemented to enhance the livelihood of 5000 small and marginal farmers in Angul and Dhenkanal districts of Odisha. Access also creates Farmer Producer Organization (FPO) The key objectives of the project are to address the issues relating to productivity enhancement and post-harvest handling. ACCESS Development Services has been engaged as a Technical Service Agency (TSA) by West Bengal State Rural Livelihoods Mission (WBSRLM) for conducting value chain analysis of Ginger and Turmeric across Kalchini block of Alipurduar district and Goalpokhar-I block of Uttar Dinajpur district respectively.    ",,,
6be3371c-fb52-36f5-94e0-97ce02362a3c,,,,,,," Abhivyakti Media for Development (AMD) is a Nasik based ‘Media Support Organization’ registered as an NGO in 1987. The organization works with development groups at grassroots level and is determined to enhance their effectiveness as community workers by: focusing on their role as communicators and exploring possible uses of media to develop community learning. Abhivyakti means ‘expression’ and is committed to unleash the potential of individuals and organizations by using creative and critical media expressions in the process of social transformation. Abhivyakti’s venture in this field was novel and was well accepted by other NGOs and the society.  Some of their programs are mentioned below:   Alternative Media:  This a unique model framed with an aim to promote an alternate media that is sensitive to the actual needs of the people. Alternative Media also serves as a platform for people to fulfil their basic political, social, economic, and cultural goals by participating in creating the type of society they desire to live in.  Capacity Building Workshops:  These are conducted with an objective to polish articulation skills, better express feelings, emote differently in different situations and enhance communication skills for individuals involved in community development. These workshops are conducted on requests from NGOs and other for profit organizations as well to enhance the softer skills of their staff.  Media Education Programmes:  This was initiated with the sole motive to spread awareness among children and equip them with the right skills to express themselves through an alternative media platform.  Community Radio:  They have also initiated community radio programmes recently which allows people to express their views and opinions without any fear. The organization is confident that a great deal of avenues of learning will open up through this Community Radio.   Abhivyakti’s areas of work include media productions, publications, training and media education in schools, media dissemination and networking in order to address social issues and promote community development. It has developed a series of publications to promote people-centred knowledge through booklets, journals, newsletters, and posters. All projects implemented by the organization focuses on the youth, women, nutrition and environment. ",,,
