ngoId,ngoName,orgEmail,officePhone,primaryPoc,primaryPocPhone,secondaryPoc,secondaryPocPhone,mailingAddress,physicalAddress,fieldOffices,orgType,orgWebsite,websiteIsValid,facebook,twitter,iInstagram,youtube,whatsapp,otherSocials,scrapeSource,executiveDirector,technicalSupport,chairmanName,chairmanMobile,chairmanEmail,viceChairmanName,viceChairmanMobile,viceChairmanEmail,secretaryName,secretaryMobile,secretaryEmail,assistantSecretaryName,assistantSecretaryMobile,assistantSecretaryEmail
608f2a51-35a5-3002-8229-c078531a7cdd,Aai Caretaker,info@aaicaretaker.org.in,+91 22 25530537,,,,,"Room No. B/4, Ashok Nagar, Near Krishna Medical Store, Chembur, Mumbai 400074. Maharashtra ","Room No. B/4, Ashok Nagar, Near Krishna Medical Store, Chembur, Mumbai 400074. Maharashtra ",,,www.aaicaretaker.in,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
c894bc4b-4c34-38ca-a874-fa9f9bc69677,Aakriti,aakritischool@yahoo.in,+91 9312263021,,,,,"J-159, Sector-10 DLF, Faridabad 121006. Haryana ","J-159, Sector-10 DLF, Faridabad 121006. Haryana ",,,www.aakritingo.org,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
b023c29c-3ae0-3128-881c-b0245892e0aa,Aakash Maindwal Foundation,aakashmaindwalfoundation@gmail.com,+91 120 4377527,,,,,"107, First Floor, Block - Milano, Mahagun Mosaic Phase-II, Sec-IV, Vaishali, Ghaziabad 201010. Uttar Pradesh ","107, First Floor, Block - Milano, Mahagun Mosaic Phase-II, Sec-IV, Vaishali, Ghaziabad 201010. Uttar Pradesh ",,,www.amfindia.org,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
7c8e8ac2-e381-3a90-bf13-c3786b890a05,Aaradhana Sanstha,drhchaudhary@yahoo.com,+91 9639161612,,,,,"14, Sulabhpuram, Sikandara Bodla Road, Agra 282007. Uttar Pradesh ","14, Sulabhpuram, Sikandara Bodla Road, Agra 282007. Uttar Pradesh ",,,,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
3e5c857a-4e60-36d9-b3a3-d14c02bf373b,Action Against Hunger (Fight Hunger Foundation),contact@fighthungerfoundation.org,+91 022 2611 1275,,,,,"201, Sai Prasad Building, Sion Kamgar CHS Ltd, Sion, Mumbai 400022. Maharashtra ","201, Sai Prasad Building, Sion Kamgar CHS Ltd, Sion, Mumbai 400022. Maharashtra ",,,www.actionagainsthunger.in,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
a8ba95ae-d6a1-398a-b5a7-fcebe7fb209e,"Aastha Foundation, Aurangabad",info@aasthafoundationaurangabad.org,+91 240 2050330,,,,,"Plot No. 12, Sri Sankul, Flat No.1, Shrey Nagar, Aurangabad 431001. Maharashtra ","Plot No. 12, Sri Sankul, Flat No.1, Shrey Nagar, Aurangabad 431001. Maharashtra ",,,www.aasthafoundationaurangabad.org,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
34113d04-cd6e-32c8-9ea0-4d8ab0f3913c,Aarohan,aarohansociety@gmail.com,+91 11 41007526,,,,,"B-127, Basement, Malviya Nagar, New Delhi 110017. Delhi ","B-127, Basement, Malviya Nagar, New Delhi 110017. Delhi ",,,www.aarohanngo.org,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
6a458842-9fde-3acd-9f4f-e02c26b11eef,Abha Help Mission,abhahelpmission@yahoo.co.in,+91 9911447258,,,,,"C-37, G. T. B. H. Campus, New Delhi 110095. Delhi ","C-37, G. T. B. H. Campus, New Delhi 110095. Delhi ",,,www.abhahelpmission.org,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
1e2350d0-e051-3fc0-bf10-416cdcca26d6,Aastha Parivaar,president@aasthaparivaar.org.in,+91 22 65260281; +91 22 65260282,,,,,"86 D, Kamgar Nagar, S. G. Barve Road, Near Tilak Nagar Station, Kurla (E), Mumbai 400024. Maharashtra ","86 D, Kamgar Nagar, S. G. Barve Road, Near Tilak Nagar Station, Kurla (E), Mumbai 400024. Maharashtra ",,,www.aasthaparivaar.org,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
0d31725e-edd0-3050-9eab-ab6842523007,Access Development Services,vipin@accessdev.org,+91 11 26510915,,,,,"28, First Floor, Hauz Khas Village, New Delhi 110016. Delhi ","28, First Floor, Hauz Khas Village, New Delhi 110016. Delhi ",,,www.accessdev.org,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
6be3371c-fb52-36f5-94e0-97ce02362a3c,Abhivyakti Media For Development (Amd),abhivyakti1987@gmail.com,+91 253 2346128,,,,,"31A, Kalyani Nagar, Anandwali Shiwar, Gangapur Road, Nashik 422013. Maharashtra ","31A, Kalyani Nagar, Anandwali Shiwar, Gangapur Road, Nashik 422013. Maharashtra ",,,www.abhivyakti.org.in,False,,,,,,,helpyourngo,,,,,,,,,,,,,,
