ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
608f2a51-35a5-3002-8229-c078531a7cdd,2020,,,138990084,,,,,,,,,11582507.0,,,,,,,,,,,,
c894bc4b-4c34-38ca-a874-fa9f9bc69677,2015,,,1023204,,,,,,,,,85267.0,,,,,,,,,,,,
b023c29c-3ae0-3128-881c-b0245892e0aa,2016,,,767980,,,,,,,,,63998.333333333336,,,,,,,,,,,,
7c8e8ac2-e381-3a90-bf13-c3786b890a05,2013,,,0,,,,,,,,,0.0,,,,,,,,,,,,
3e5c857a-4e60-36d9-b3a3-d14c02bf373b,2019,,,86348954,,,,,,,,,7195746.166666667,,,,,,,,,,,,
a8ba95ae-d6a1-398a-b5a7-fcebe7fb209e,2018,,,2299271,,,,,,,,,191605.91666666666,,,,,,,,,,,,
34113d04-cd6e-32c8-9ea0-4d8ab0f3913c,2014,,,5168597,,,,,,,,,430716.4166666667,,,,,,,,,,,,
6a458842-9fde-3acd-9f4f-e02c26b11eef,2013,,,362862,,,,,,,,,30238.5,,,,,,,,,,,,
1e2350d0-e051-3fc0-bf10-416cdcca26d6,2019,,,16073700,,,,,,,,,1339475.0,,,,,,,,,,,,
0d31725e-edd0-3050-9eab-ab6842523007,2020,,,174577742,,,,,,,,,14548145.166666666,,,,,,,,,,,,
6be3371c-fb52-36f5-94e0-97ce02362a3c,2017,,,6667323,,,,,,,,,555610.25,,,,,,,,,,,,
3d56f112-867a-345a-9c38-d13ecfb04483,2017,,,19531147,,,,,,,,,1627595.5833333333,,,,,,,,,,,,
836df269-d715-3d28-b3ac-573544a66069,2014,,,6124244,,,,,,,,,510353.6666666667,,,,,,,,,,,,
58ad0a17-4cf9-3d32-8026-19e888ea8915,2019,,,197100134,,,,,,,,,16425011.166666666,,,,,,,,,,,,
000694c8-0bc3-3632-83d7-789fb6e55c6d,2020,,,6692951,,,,,,,,,557745.9166666666,,,,,,,,,,,,
3c6526cd-cf86-3e36-baaf-ffc272481a9b,2016,,,1701228,,,,,,,,,141769.0,,,,,,,,,,,,
6732fbb7-ccb4-3722-b1ac-30c7febfc763,2018,,,3002510,,,,,,,,,250209.16666666666,,,,,,,,,,,,
7924f82e-5db5-32fd-a508-f51bee0ab2c1,2020,,,5734918,,,,,,,,,477909.8333333333,,,,,,,,,,,,
8b18b011-b0a9-3657-8c5b-441c54c944bc,2015,,,11453288,,,,,,,,,954440.6666666666,,,,,,,,,,,,
31c44f87-cb6c-3215-b5de-96ebc5558b28,2018,,,22436175,,,,,,,,,1869681.25,,,,,,,,,,,,
d3e92a18-94d5-33eb-b6cb-23a3d16bd17c,2015,,,4455475,,,,,,,,,371289.5833333333,,,,,,,,,,,,
30b0df25-ca75-347d-bf09-395ae8e6ce8a,2015,,,5258013,,,,,,,,,438167.75,,,,,,,,,,,,
91517919-b549-31cd-9539-51bbc0db0960,2014,,,1229115,,,,,,,,,102426.25,,,,,,,,,,,,
449f2c03-f806-3c38-b4e8-a32a56d3a159,2015,,,8547635,,,,,,,,,712302.9166666666,,,,,,,,,,,,
72ffde49-f7ef-39f3-b089-b10618625803,2015,,,2405406,,,,,,,,,200450.5,,,,,,,,,,,,
919188d0-4472-3777-96ac-d2fd1f166ee8,2015,,,101082374,,,,,,,,,8423531.166666666,,,,,,,,,,,,
4bc9c5a8-a88a-3ce9-81ae-769ef4ab74f1,2015,,,21558216,,,,,,,,,1796518.0,,,,,,,,,,,,
23d8f408-5121-3364-b2a5-62c1dfc7184d,2015,,,6626085,,,,,,,,,552173.75,,,,,,,,,,,,
7e5e23f2-9c5a-3639-abeb-76b671b5cb14,2020,,,30378921,,,,,,,,,2531576.75,,,,,,,,,,,,
70bb402d-5d6c-3acc-a98a-e80008c7a840,2014,,,7441484,,,,,,,,,620123.6666666666,,,,,,,,,,,,
ef17af5c-8e1b-394e-90f3-b821583a539d,2018,,,0,,,,,,,,,0.0,,,,,,,,,,,,
fffdeb17-6dfc-301d-a64a-dd68ff00c544,2015,,,22292344,,,,,,,,,1857695.3333333333,,,,,,,,,,,,
9b985f67-229b-33a3-a6e6-8d6666b1646c,2016,,,-849780,,,,,,,,,-70815.0,,,,,,,,,,,,
7aa0ea45-5196-34ab-b4fa-f1d016305139,2017,,,220513,,,,,,,,,18376.083333333332,,,,,,,,,,,,
c2e57f40-8010-3bbc-a001-04f96363e714,2018,,,577709,,,,,,,,,48142.416666666664,,,,,,,,,,,,
9cbb5c12-ac8d-3881-bc6c-b8683a967fc5,2015,,,4168250,,,,,,,,,347354.1666666667,,,,,,,,,,,,
cd88c285-d85a-3572-9d8c-c52610ed89bf,2018,,,9560725,,,,,,,,,796727.0833333334,,,,,,,,,,,,
97813ef4-4de4-3bcd-8853-b7cb6e1f4095,2012,,,-3931132,,,,,,,,,-327594.3333333333,,,,,,,,,,,,
3c7069d8-c5a5-348e-80a5-48b79bdb1406,2015,,,993714,,,,,,,,,82809.5,,,,,,,,,,,,
07d73aec-ac6b-3841-aa55-01d51083973e,2015,,,9300143,,,,,,,,,775011.9166666666,,,,,,,,,,,,
89d124dd-5e09-3e9c-a5d7-e8163da33908,2015,,,8988079,,,,,,,,,749006.5833333334,,,,,,,,,,,,
567dc611-24ca-3c5d-a456-b7532b719f40,2018,,,2998312,,,,,,,,,249859.33333333334,,,,,,,,,,,,
4683a444-2db2-3fa1-b02b-fe06fbd2862e,2015,,,4524455,,,,,,,,,377037.9166666667,,,,,,,,,,,,
efaa3990-612a-3bec-85b6-892e37a0be54,2013,,,11033379,,,,,,,,,919448.25,,,,,,,,,,,,
7b32a6f8-685c-3197-aef6-34eae5bc4150,2019,,,50444357,,,,,,,,,4203696.416666667,,,,,,,,,,,,
a2eaf148-054e-3bbf-8828-aadf406e41f1,2020,,,-707055,,,,,,,,,-58921.25,,,,,,,,,,,,
85917e90-4411-3604-b204-eccd95e1a22d,2015,,,142433,,,,,,,,,11869.416666666666,,,,,,,,,,,,
9dbed3ae-cac1-3944-a250-79d24081982e,2014,,,384803,,,,,,,,,32066.916666666668,,,,,,,,,,,,
6a315fc8-843e-3f25-9c89-28cebdf28fa4,2018,,,1312950,,,,,,,,,109412.5,,,,,,,,,,,,
a3d5308c-818e-3c1e-98fe-ad39dd7a0ad5,2020,,,26487663,,,,,,,,,2207305.25,,,,,,,,,,,,
2e9b08dd-48e2-3553-a5c0-9f08ae6e75a3,2019,,,49730610,,,,,,,,,4144217.5,,,,,,,,,,,,
b996186c-3bcb-3068-9b2d-d0b5359ffef5,2014,,,14272039,,,,,,,,,1189336.5833333333,,,,,,,,,,,,
421c4250-9250-3210-b2ff-6be8c09ce683,2014,,,1296516,,,,,,,,,108043.0,,,,,,,,,,,,
29da6785-3822-3a8b-b6f3-fd279178c7d1,2016,,,205542,,,,,,,,,17128.5,,,,,,,,,,,,
8def1205-bd81-360a-a8c7-53bc90171a45,2015,,,33851964,,,,,,,,,2820997.0,,,,,,,,,,,,
73bb6589-b44a-3d2b-b43a-3e47e07ebafc,2016,,,40656619,,,,,,,,,3388051.5833333335,,,,,,,,,,,,
