ngoId,hasRegistration,hasFinance,logo,yearEstablished,missionStatement,vision,objectives,legalStatus,areasOfOperation,activeStatus
eaaa3317-6cf8-3b08-b639-ffaca2632f36,,,,,"Mission Oxygen began as a overnight initiative by a community of founders and entrepreneurs across Delhi/NCR to aid and assist hospitals that were running out of oxygen to treat Covid19 patients. Different members across this community segregated tasks according to their core competencies across crowdfunding, supply procurement, logistics, distribution/demand estimation, amplification and PR with the aim of purchasing, importing and delivering life saving concentrators to hospitals and nursing homes across the city.",,,,,
1ee7d229-61fb-3d3c-992e-b055a8e8b71a,,,,,"The Gautam Gambhir Foundation is extending their support to the marginalized, by assuring that their health care workers stand at the first line of defense.",,,,,
9d09bc09-06ae-383f-a651-b6ec0c9df492,,,,,"Mazdoor Kitchen is a citizen run voluntary initiative, working to provide meals and subsistence to daily wage workers in North Delhi. Run by a dedicated team of volunteers comprising professors, students, artists and people from the community itself, it has been providing meals and ration kits to hundreds of people across North Delhi. ",,,,,
5b1f3a64-f452-3c09-913c-ad3aeecd18e3,,,,,"A group of IIT alumni, in coordination with SaveLife foundation have started a fund collection drive for oxygen .concentrators to be setup in and around Delhi NCR region.",,,,,
7f84f63e-b7bb-3187-8813-7bfc742f4731,,,,,"Chikka Federation is a United Nations accredited NGO that is carrying out Covid-19 relief work through distribution of ration, masks and soaps amongst the resourceless commmunities of Muzaffarpur and providing meals to some daily wage workers and domestic help who have been rendered jobless in the current situation. The NGO is also carrying out awareness campaigns about the importance of maintaining social distance.",,,,,
c5517ad2-054f-390a-9d7a-14fd08257487,,,,,"Access Foundation a  registered NGO u/s 12AA and 80G of Income tax act, has been working since the beginning of Pandemic  to provide free ambulance services with the fleet of 6 ambulances we presently have . More than 350 patients have benefitted using our free cylinders and concentrators services. Access is also a part of 2 isolation centres at Golconda and Malakpet which will be run free of cost. Ration has been distributed to about 3500  afflicted families during the past one year . Also Access Foundation plays a vital role in the HUM helpline where about 4000 patients have obtained free online consultations by experts. Livelihood projects have been in full swing to help the people re establish themselves. 
			Ambulance helpline (free for Govt hospitals , isolation centres, vaccine centres ) : 9908820066 
			HUM helpline for free consultations : 7306600600",,,,,
27bef91d-d0ea-35d4-8b80-021cbe712802,,,,,"Enrich Lives Foundation (formerly Annapurna Movement) is a non-profit organization focused on hunger alleviation, education, women empowerment, poverty alleviation and public health. Founded during the COVID-19 2020 lockdown in India by individuals with past involvement in social causes as Annapurna Movement, the organization was involved in the distribution of food grains and meals to the people worst affected. Enrich Lives Foundation is now involved in a variety of causes affecting the most underprivileged sections of the society:  1) Meal distribution 2) Grocery kit distribution 3) Job placements",,,,,
5c88af74-d29e-3e79-8ed4-8cb76ba22cc3,,,,,"Khaana Chahiye Foundation started as a citizen-led campaign in March 2020 to meet the immediate, lockdown-induced food demands of the homeless, migrant workers, daily wage laborers, and other vulnerable populations in the city of Mumbai",,,,,
bc62bb22-c9f0-3891-8ae3-654c97464a3d,,,,,"Founded in 2009, Swasth Foundation is a non-profit social enterprise committed to health and joy for all. They focus on improving the well-being of the poor by providing a range of affordable and high-quality primary-preventive health services.",,,,,
27ef01e1-fc7f-311d-b745-2e487d5e33d8,,,,,"United Way Mumbai is a premier non-profit organization with a mission to improve lives by mobilizing the caring power of communities to advance the common good. As a leader in the Indian development sector, UWM works closely with a network of 400+ NGOs and a large number of corporates for their CSR programmes, workplace giving campaigns and other events. This includes designing of CSR policy and strategies, due diligence of NGO partners, programme implementation, employee volunteering, impact assessments and ­financial and programmatic reporting.",,,,,
976010c5-405a-3c4b-ac7a-625bac4fbf63,,,,,"Sphoorti creates a safe and secure haven for our children to learn, improve, and bloom into who they really are so they can grow up to afford themselves the dignity and strength they need to break free of the cycle. As an organization, we work to erase the barriers between the kids and their potential. This campaign can help provide basic nutrition and vitamin and mineral tablets, dry fruits along with sanitary products like masks, gloves and sanitizers.",,,,,
2b5d01ac-c00b-3fc8-a19a-cb433d31a70e,,,,,Gurugram based NGO working on 12+ projects from last 12 years for upliftment of underprivileged section of society. They are currently distributing Oxygen Cylinders to COVID-19 patients for free.,,,,,
1e2179a3-89a0-3205-9db0-b2b9321ac340,,,,,"‘Sakina’ – Peace for one and all – Sakina Foundation strives for this very humane yearning. Since last year they are involved in covid relief measures majorly in Telangana and different parts of India. They are accepting donation in the form of oxygen cylinders, Remdesivir injections, covid medicines, masks, sanitizers, gloves, PPE, grocery. ",,,,,
963567a3-4270-3e5a-98ab-6b3640b1a6fc,,,,,ACT grant is backing India’s best social entrepreneurs to combat COVID-19 using inventive start-up thinking. they are using their resources to find solutions to the acute shortage of oxygen by setting up oxygen concentrators at hospitals and nursing homes.,,,,,
d1844e47-fff3-358b-8ce1-8eb52f6a4406,,,,,Feeding From Far is an initiative that has been feeding the poor and unemployed who are struggling to feed themselves during the lockdown. They have managed to distributed over 10 lakh meals to the needy since the first lockdown hit through cooked meals and ration kits.,,,,,
60f54bb3-da19-363f-85fd-b58243645568,,,,,"Farmers, Villagers, Community etc. for their development, livelihood, health and education. TEAS along with the Government Organization, delivering various activities helping Government in implementing the Government policies to the grass root level.",,,,,
e7657bc2-f67f-3040-a7ee-d19b429c1365,,,,,Khalsa Aid international is providing free oxygen concentrators to COVID patients. ,,,,,
a8f202b2-7401-3a9a-b749-395816e28dce,,,,,"MCKS Food for the Hungry Foundation Delhi, is a not for profit organization started in 2005. Infused with Master Choa Kok Sui's teachings, the foundation looks to be the force bringing about the change in and around us. They affect the lives of people in a tangible way; reaching out with food to the hungry and empowering them with skills to move from despair to hope.",,,,,
b3a68eb6-ee9e-3512-8492-65b3b2cdc801,,,,,"Making the Difference (MTD) is working to improve the quality of life for disadvantaged individuals through nutrition, health care, education. They are providing medical equipments all over Mumbai, masks and kits PPE in Varanasi, tiffin service to home quarantine patient in Mira bhayander, ration distribution for local communities all over Mumbai. ",,,,,
05d35889-9151-36f2-b767-768ff8e177ca,,,,,"Khushiyaan Foundation is extending its on-ground support by feeding people through their ""Roti-Ghar"" initiative.",,,,,
dbaebf7f-c1e5-317a-851d-1ea12cae2d28,,,,,"Established in 2000, Give India is one of the most trusted crowdfunding websites in India. They have launched ICRF-2 to support gaps in healthcare and other critical needs.  ",,,,,
1ea82245-bf98-39f5-936e-9fe1f9d8d225,,,,,"HelpNow was started by 3 IITians Aditya Makkar, Shikar Agarwal and Venkatesh Amrutwar and has built the largest network of private ambulance.  HelpNow is an Initiative by young students providing a safe, 24x7 logistics network for transporting COVID patients/suspects, Drugs, Phlebotomists, Healthcare workers (docs, nurses) and Blood/Organs/Medical supplies in India.                                                                           You can help by donating funds for :  1) Purchasing BLS Oxygen Ambulances. 2) 50,000+ PPE Kits. The staff of 300 ambulances (drivers and paramedics), require a minimum of 5 kits a day, per person. 3) Extending free ambulance support to the poor. 4) Incentivizing an army of drivers to join the cause and reinvigorate ambulance supply.",,,,,
af4d10b7-7fbc-3c95-94ed-6a79375c9a28,,,,,"Concern India Foundation was set up in 1991 as a registered non-profit, public charitable trust to extend financial and non-financial support to grassroots level NGOs working in the areas of education, health and community development.",,,,,
