ngoId,ngoName,orgEmail,officePhone,primaryPoc,primaryPocPhone,secondaryPoc,secondaryPocPhone,mailingAddress,physicalAddress,fieldOffices,orgType,orgWebsite,websiteIsValid,facebook,twitter,iInstagram,youtube,whatsapp,otherSocials,scrapeSource,executiveDirector,technicalSupport,chairmanName,chairmanMobile,chairmanEmail,viceChairmanName,viceChairmanMobile,viceChairmanEmail,secretaryName,secretaryMobile,secretaryEmail,assistantSecretaryName,assistantSecretaryMobile,assistantSecretaryEmail
eaaa3317-6cf8-3b08-b639-ffaca2632f36,Mission Oxygen,None,None,,,,,Delhi NCR,Delhi NCR,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
1ee7d229-61fb-3d3c-992e-b055a8e8b71a,Gautam Gambhir Foundation,info@gautamgambhirfoundation.org,None,,,,,Delhi NCR,Delhi NCR,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
9d09bc09-06ae-383f-a651-b6ec0c9df492,Mazdoor Kitchen ,None,None,,,,,Delhi (North),Delhi (North),,,,,,,,,,,investIndia,,,,,,,,,,,,,,
5b1f3a64-f452-3c09-913c-ad3aeecd18e3,Breathe India,ashu95.ranka@gmail.com,None,,,,,Delhi NCR,Delhi NCR,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
7f84f63e-b7bb-3187-8813-7bfc742f4731,Chikka Foundation,None,: 9570716800,,,,,"Delhi, Bihar","Delhi, Bihar",,,,,,,,,,,investIndia,,,,,,,,,,,,,,
c5517ad2-054f-390a-9d7a-14fd08257487,Access Foundation,None,None,,,,,Hyderabad,Hyderabad,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
27bef91d-d0ea-35d4-8b80-021cbe712802,Enrich Lives Foundation,team@enrichlivesfoundation.org,None,,,,,Mumbai,Mumbai,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
5c88af74-d29e-3e79-8ed4-8cb76ba22cc3,Khaana Chahiye,contact@khaanachahiye.com,None,,,,,Mumbai,Mumbai,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
bc62bb22-c9f0-3891-8ae3-654c97464a3d,Swasth,info@swasth.org,None,,,,,Mumbai,Mumbai,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
27ef01e1-fc7f-311d-b745-2e487d5e33d8,United Way Mumbai,contact@unitedwaymumbai.org,None,,,,,Mumbai,Mumbai,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
976010c5-405a-3c4b-ac7a-625bac4fbf63,Spoorthi Foundation- Coronavarus Relief Fund,srivyal@sphoorti.org,None,,,,,Telangana,Telangana,,,,,,,,,,,investIndia,,,,,,,,,,,,,,
