ngoId,hasRegistration,hasFinance,logo,yearEstablished,missionStatement,vision,objectives,legalStatus,areasOfOperation,activeStatus
05a69203-8194-3a20-ad28-0a9f8ec3b16d,,,,,,VisionThe vision of the organisation is to develop an environment for our beneficiaries in which they can make healthy choices and lead a life of dignity and respect. To provide quality and cost effective services to people negatively affected by issues related to social and health.  Ensuring holistic approach to the treatment so that the clients will achieve a degree of well being and wellness.,"TPF is a not for profit, national level voluntary organization. Since its inception at the beginning of this millennium, it is active in the field of health focusing on Drug Abuse Prevention and Treatment, HIV/AIDS prevention & promoting Alternative Systems of Medicines. It stands out of the crowd by way of its innovatively developed and unique approach and action, based on its underlying principle -care and share.",,,
c4e895fb-a222-36a9-aec9-7901492fb709,,,,,,"To inculcate the thirst for knowledge among students from marginalise sections of the society helping them to achieve their full potential so that the inherent human excellence is brought forth for the good of the individual and the society. To mobilise  adequate resources and administer them with dedication, efficiency and transparency.",Basic Research Education And Development Society more commonly known as BREAD Society was registered as a Not for profit Organization in 1989. It was established to help underprivileged students with financial assistance to pursue higher education. It has awarded over 9000 scholarships of financial assistance to over 3400 students in composite Andhra Pradesh. It has now set up 850 Children's Libraries in government high schools in Andhra Pradesh and Telangana to inculcate book reading habit among underprivileged students of government schools in the last seven and half years.,,,
3b09be47-3ca6-3f36-a96f-d54bb284f042,,,,,,"Empowering the visually impaired so that they lead a life of dignity and independence. Through its service, the trust will give wings to the dreams of every blind person.","“ Divya Jyothi Charitable Trust” for the blind came into existence in Mysore during 2010 to fight the social and economic inequality shown for the visually impaired.  We believe in celebrating the achievements of these blind/visually challenged people. We see blindness rather visually impaired, not as a handicap, but as a visually challenged.  We provide means for the blind/visually impaired to get educated and develop skills necessary to find employment.",,,
d2741124-86d2-317f-adb5-eca14677abec,,,,,,"MissionEmpowering individuals, families & social groups to live happier lives with healthier relationships and serves less privileged fellow beings with Love, by fostering intrapersonal and interpersonal harmony.VisionSocial Transformation through Effective Empowerment & productive Compassion","ATMA Foundation is an NGO committed to empowering individuals and families to lead happier lives with healthier relationships, and to bring in positive change in the community. Over the years, we have organized over 1147 programmes , directly impacting over 1.9 lakh families (8th May 2006 – 31st March 2016). Our core philosophy is Living in Harmony - a practical philosophy of intrapersonal and interpersonal integration, for vision oriented value based happy living. Our Regular Activities include: i) Guidance & Counselling – Free Harmony Counselling, Counselling Training, Empowerment & Compassion Process Labs, Yoga Therapy, etc. for the last 15 years. ii) Empowerment Initiatives: Workshops, Seminars & Camps for empowerment of Teachers, Parents, Youth, Adolescents, Children & Social Workers.  . iii) Volunteer Development – Family Betterment sessions, workshops, EC Groups, TA groups… iv) Community Health Initiatives - Medical Camps & Awareness Campaigns Our ongoing projects are",,,
4f3a89b2-1a9f-3692-9101-a416e7f47c89,,,,,,"To reach out to more number of people living on the streets with our street medicine program and continue support of cases referred from the government hospitals through our clinics.To  Improve services in our education program by upgrading our infrastructure, through the acquisition of a school buildingTo Continue efforts to grow and make our handicraft and weaving projects self –sustainable.","Calcutta Rescue (CR) is a non – governmental organization (NGO) operating in Kolkata and parts of rural West Bengal for over three decades,  supporting with free medical care, education and development to the poorest and most disadvantaged people of Kolkata and rural West Bengal irrespective of gender, age, caste, or religion.",,,
e1b26bed-ca0e-330f-a818-2782b33d0c89,,,,,,"To dedicate itself as a facilitator of social development through participatory process of awareness generation, advocacy and need based intervention with due emphasis on the vulnerability of persons with disability, persons in special difficulty.To champion the cause of social justice and equality for persons with disability.It dreams of a society which is free from all stigma for persons with disability and people realise the potentiality of each individual and take an inclusive approach towards development.","Since its inception, This organization has been working for the empowerment of visually impaired persons of Odisha in the field of Education, Training and Rehabilitation . in its 11 years of activities the organization has been able to run  major projects with the following focus areas: 1.Digital Talking Book Center for providing the study materials to the blind students and colleges. 2. Braille Library and resource for blind to provide necessary Braille books and important documents related to job, scholarship and other govt. scheme. 3. Computer training for Visually Impaired  to impart computer education as per the need of modern society the organization is providing  continuously free computer education to visually impaired persons. 4. Special Education Program for providing quality education and develop human resource  for the teaching of blind children. 5. Rehabilitation work shop for self employment of low literate youth disabilities. 6. Skill training & Employment programme for preparing the graduate and higher class students to face the competitive exams of various jobs both private and Govt. sector.",,,
2ff68544-6790-3c40-b775-cae7940e6316,,,,,,"MISSION:-The mission of DRC is to establishment of a sound, effective and meaningful society through organized community effort.VISION:-A new socio-economic order in which the poor and the women live at par with others followings the values of sustainable development, Global common-hood and empathy to wards the weaker sections.","DEVELOPMENT RESOURCE CENTRE (DRC ) is a voluntary not-for-profit civil society organization that works towards catalyzing and influencing positive change in the life of people living on the margins of society. DRC is the  development resource organization, which has been rendering services to the SHGs, CBOs, VOs, NGOs, CSOs, Social Activists, Micro Credit Organizations and individual social workers in the field of training, development orientation, survey etc. aiming at strengthening of grassroots people, Non-Govt. Development Organizations and other individuals for a greater social cause. Though formally DRC took its real shape on 2nd October 2005 with collective effort of 11 members representing from medico, socio, culture, management, professional and social activists under the leadership of Mr. Yudhisthir Pradhan at- H.N. Colony, Gundicha Vihar, Sarbodaya Nagar, Dist-Puri-2, Orissa prior to this the organization was working in non-formal way with a with a 5nos. of intellecta resource group since 2nd October 2002 to 2005 providing development support services to the people in need basically the social workers, activists and people’s organizations of Puri district in particular.",,,
12cb662e-1c12-3c78-af3b-41b6411c4e86,,,,,,To promote & protect child right in the state.To work for the women empowerment in tribal regions.To engage in helping out communities by guiding them  about alternate livelihoods.,"The Organisation is involved majorly in promotion & protection of childrights which includes providing kids of urban slums with education, working intensively for the juvenile deliquents. The Organisation is also a major proponent in functioning for the cause of women empowerment specially in the tribal belts of Odisha, also works in promoting alternate livelihoods & sustainable agriculture in these regions.",,,
38dac131-0290-3c1e-aeba-ce78870af9f4,,,,,,"Vision & Mission To make India a poverty free nation. To empower women, youth and elderly persons to stream them into inclusive development of our SocietyEducate people & make them self reliance by providing various vocational courses .Creating legal awareness & imparting legal assistance to needy citizen, to have access to justice.And justice to all.","The Nitya Skill & Rural Development Council is a registered society under societies registration act XXI, 1860,registered on dated 25th May 2012 to promote, facilitate, conduct and co-ordinate social actions/programs for the emancipation and uplift of the weaker sections particularly those socially challenge and discriminated against on the grounds of gender, caste and creed nearly twelve long years in Delhi made it a proud harbinger of hope and confidence for hundreds of men and women whose hope of life has been completely shattered.",,,
9aea4363-3220-38a0-bca3-82a5699056ee,,,,,,To provide education to the marginalised section of the society. To promote child rights.,The Organisation is involved in facilitating education to the marginalised section of the society and belives in consolidating rights of street and working children.,,,
