ngoId,isRegistrationFor,ngoType,regNo,regDate,registrar,12ANo,12ARegdate,12AUpload,80GNo,80GRegdate,80GUpload,35ACNo,35ACRegdate,35ACUpload,fCRANo,fCRARegdate,natureListed,fCRAStatus,fCRAExpiration,fCRAUpload,pan,tan,gst,notes
05a69203-8194-3a20-ad28-0a9f8ec3b16d,,,S/41220,14-01-2002,,1242,14-03-2003,,8263043,11-10-2011,,,,,231660609,12-12-2005,,,,,AABTT1084A,,,
c4e895fb-a222-36a9-aec9-7901492fb709,,,1755 of 1989,11-08-1989,,H.Qrs11/12A&80G/32/,19-10-1990,,HYD/80G/155(3)/08-09,10-09-2008,,,,,010260111,05-08-2016,,,,,AAATB4485E,,,
3b09be47-3ca6-3f36-a96f-d54bb284f042,,,MYN-4-00326-2010-11,08-11-2010,,D-54/12AA/MYS2011-12,27-06-2011,,D-54/12AA/MYS2011-12,08-11-2010,,,,,094590221,22-12-2016,,,,,AABTD4733A,,,
d2741124-86d2-317f-adb5-eca14677abec,,,397/ IV / 06,08-05-2006,,CIT-TCR/Tech/12A/18/,06-02-2012,,AADTA 2673 C/09/15-1,28-05-2015,,,,,,,,,,,AADTA2673C,,,
4f3a89b2-1a9f-3692-9101-a416e7f47c89,,,S/674950/ 1991- 92,92 - 04-04-1991,,,,,,,,,,,,,,,,,AAATC2014N,,,
e1b26bed-ca0e-330f-a818-2782b33d0c89,,,22905/115,18-09-2008,,102/2011-12,12-03-2012,,128/2011-12,12-03-2012,,,,,104910203,22-03-2012,,,,,AABAM3529N,,,
2ff68544-6790-3c40-b775-cae7940e6316,,,6595-04 of 2006-07,13-04-2006,,19 of 2010-11,31-05-2010,,,,,,,,,,,,,,AAATD9150A,,,
12cb662e-1c12-3c78-af3b-41b6411c4e86,,,19770/202 of1994-95,30-12-1995,,,,,,,,,,,,,,,,,AAATC4491R,,,
38dac131-0290-3c1e-aeba-ce78870af9f4,,,S/00895/NE/2012,25-05-2012,,,,,,,,,,,,,,,,,AACTN2372E,,,
9aea4363-3220-38a0-bca3-82a5699056ee,,,220,10-08-2010,,,,,,,,,,,,,,,,,AAAAA7573K,,,
cef20119-73c3-39bf-8026-820b448de57b,,,325/2002,27-02-2002,,,,,,,,,,,,,,,,,AABAT6815C,,,
